name,field_office,address_line1,city,state,postal_code,country,phone,address_full,detail_url,latitude,longitude,trac_type_detailed,trac_guaranteed_minimum,trac_average_daily_population,trac_as_of
La Salle County Regional Detention Center,San Antonio Field Office,832 East Texas HWY 44,Encinal,TX,78019,United States,,"832 East Texas HWY 44 Encinal, TX 78019 United States",https://www.ice.gov/detain/detention-facilities/la-salle-county-regional-detention-center,28.0455037,-99.3362626,USMS IGA,,287,11/28/2025
Limestone County Detention Center,Houston Field Office,910 North Tyus Street,Groesbeck,TX,76642,United States,,"910 North Tyus Street Groesbeck, TX 76642 United States",https://www.ice.gov/detain/detention-facilities/limestone-county-detention-center,31.5268364,-96.51481919999999,USMS IGA,,243,11/28/2025
Louisiana ICE Processing Center,New Orleans Field Office,17544 Tunica Trace,Angola,LA,70712,United States,,"17544 Tunica Trace Angola, LA 70712 United States",https://www.ice.gov/detain/detention-facilities/louisiana-ice-processing-center,30.9406745,-91.5683806,,,,
Mahoning County Justice Center,Detroit Field Office,110 Fifth Avenue,Youngstown,OH,44503,United States,,"110 Fifth Avenue Youngstown, OH 44503 United States",https://www.ice.gov/detain/detention-facilities/mahoning-county-justice-center,41.1042306,-80.6549256,,,,
McCook Detention Center,St. Paul Field Office,2309 US-83 N,McCook,NE,69001,United States,,"2309 US-83 N McCook, NE 69001 United States",https://www.ice.gov/detain/detention-facilities/mccook-detention-center,40.2279917,-100.6487162,DIGSA,,5,11/10/2025
MDC Brooklyn,New York City Field Office,80 29th Street,Brooklyn,NY,11232,United States,,"80 29th Street Brooklyn, NY 11232 United States",https://www.ice.gov/detain/detention-facilities/mdc-brooklyn,40.6599299,-74.0037546,,,,
Mesa Verde ICE Processing Center,San Francisco Field Office,425 Golden State Avenue,Bakersfield,CA,93301,United States,,"425 Golden State Avenue Bakersfield, CA 93301 United States",https://www.ice.gov/detain/detention-facilities/mesa-verde-ice-processing-facility,35.3799739,-119.0064452,CDF,320,371,11/28/2025
Miami Correctional Facility (MCF),Chicago Field Office,3038 West 850S,Bunker Hill,IN,46914,United States,,"3038 West 850S Bunker Hill, IN 46914 United States",https://www.ice.gov/detain/detention-facilities/miami-correctional-facility-mcf,40.644835,-86.13349339999999,,,,
Monroe County Jail,Detroit Field Office,7000 East Dunbar Road,Monroe,MI,48161,United States,,"7000 East Dunbar Road Monroe, MI 48161 United States",https://www.ice.gov/detain/detention-facilities/monroe-county-jail,41.89553069999999,-83.39339439999999,,,,
Montgomery Processing Center,Houston Field Office,806 Hilbig Road,Conroe,TX,77301,United States,,"806 Hilbig Road Conroe, TX 77301 United States",https://www.ice.gov/detain/detention-facilities/montgomery-processing-center,30.336088,-95.44250459999999,,,,
Moshannon Valley Processing Center,Philadelphia Field Office,555 GEO Drive,Philipsburg,PA,16866,United States,,"555 GEO Drive Philipsburg, PA 16866 United States",https://www.ice.gov/detain/detention-facilities/moshannon-valley-processing-center,40.9221524,-78.2405572,DIGSA,800,1600,11/28/2025
